Date : 2023-02-13 11:23:22
Directory : d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src
Total : 239 files,  101142 codes, 10778 comments, 9727 blanks, all 121647 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        178 |     72,017 |      6,324 |      3,017 |     81,358 |
| JavaScript |         47 |     28,785 |      4,450 |      6,695 |     39,930 |
| JSON       |          2 |        169 |          0 |          2 |        171 |
| HTML       |          9 |        169 |          4 |         12 |        185 |
| XML        |          2 |          2 |          0 |          0 |          2 |
| SASS       |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        239 |    101,142 |     10,778 |      9,727 |    121,647 |
| assets                                                                                                                                   |         15 |     27,494 |      4,300 |      6,554 |     38,348 |
| assets (Files)                                                                                                                           |          6 |      1,462 |        310 |         51 |      1,823 |
| assets\common                                                                                                                            |          2 |      1,768 |        223 |         81 |      2,072 |
| assets\style                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| assets\ticket                                                                                                                            |          1 |         38 |         13 |          4 |         55 |
| assets\vue-grid-layout                                                                                                                   |          5 |     24,226 |      3,754 |      6,417 |     34,397 |
| assets\vue-grid-layout (Files)                                                                                                           |          2 |         89 |          3 |          3 |         95 |
| assets\vue-grid-layout\dist                                                                                                              |          3 |     24,137 |      3,751 |      6,414 |     34,302 |
| pages                                                                                                                                    |        186 |     59,776 |      4,567 |      2,656 |     66,999 |
| pages\analytics                                                                                                                          |         15 |      1,569 |         84 |         45 |      1,698 |
| pages\analytics (Files)                                                                                                                  |          3 |        198 |          7 |         14 |        219 |
| pages\analytics\components                                                                                                               |          8 |      1,311 |         74 |         26 |      1,411 |
| pages\analytics\store                                                                                                                    |          4 |         60 |          3 |          5 |         68 |
| pages\bi                                                                                                                                 |          6 |      1,951 |        183 |         29 |      2,163 |
| pages\bi (Files)                                                                                                                         |          3 |        389 |         24 |         10 |        423 |
| pages\bi\components                                                                                                                      |          3 |      1,562 |        159 |         19 |      1,740 |
| pages\cube                                                                                                                               |         38 |     11,612 |      1,078 |        685 |     13,375 |
| pages\cube (Files)                                                                                                                       |          3 |        195 |         27 |         19 |        241 |
| pages\cube\components                                                                                                                    |         30 |     11,292 |      1,037 |        650 |     12,979 |
| pages\cube\components (Files)                                                                                                            |          4 |      1,545 |        137 |         62 |      1,744 |
| pages\cube\components\panelModules                                                                                                       |         26 |      9,747 |        900 |        588 |     11,235 |
| pages\cube\components\panelModules (Files)                                                                                               |          7 |      5,580 |        557 |        298 |      6,435 |
| pages\cube\components\panelModules\styleSubModules                                                                                       |         19 |      4,167 |        343 |        290 |      4,800 |
| pages\cube\router                                                                                                                        |          1 |         11 |          2 |          3 |         16 |
| pages\cube\store                                                                                                                         |          4 |        114 |         12 |         13 |        139 |
| pages\download                                                                                                                           |          5 |      1,102 |         88 |         40 |      1,230 |
| pages\download (Files)                                                                                                                   |          3 |        107 |          3 |         11 |        121 |
| pages\download\downLoadManger                                                                                                            |          2 |        995 |         85 |         29 |      1,109 |
